A2M	NM_000014.4
A2ML1	NM_144670.4
A4GALT	NM_017436.4
AAAS	NM_015665.5
AADAC	NM_001086.2
AADACL2	NM_207365.3
AAGAB	NM_024666.4
AANAT	NM_001088.2
AAR2	NM_015511.4
AARS	NM_001605.2
AARS2	NM_020745.3
AASS	NM_005763.3
AATF	NM_012138.3
ABAT	NM_020686.5
ABCA1	NM_005502.3
ABCA10	NM_080282.3
ABCA12	NM_173076.2
ABCA13	NM_152701.4
ABCA2	NM_212533.2
ABCA3	NM_001089.2
ABCA4	NM_000350.2
ABCA5	NM_018672.4
ABCA6	NM_080284.2
ABCA7	NM_019112.3
ABCA8	NM_007168.3
ABCB1	NM_000927.4
ABCB11	NM_003742.2
ABCB4	NM_000443.3
ABCB5	NM_001163941.1
ABCB6	NM_005689.2
ABCB7	NM_004299.4
ABCC1	NM_004996.3
ABCC11	NM_032583.3
ABCC12	NM_033226.2
ABCC2	NM_000392.4
ABCC3	NM_003786.3
ABCC4	NM_005845.4
ABCC6	NM_001171.5
ABCC8	NM_000352.4
ABCC9	NM_005691.3
ABCD1	NM_000033.3
ABCD3	NM_002858.3
ABCD4	NM_005050.3
ABCE1	NM_002940.2
ABCG1	NM_207174.1
ABCG2	NM_004827.2
ABCG5	NM_022436.2
ABCG8	NM_022437.2
ABHD12	NM_001042472.2
ABHD5	NM_016006.4
ABI3BP	NM_015429.3
ABLIM1	NM_001003408.1
ACACB	NM_001093.3
ACAD8	NM_014384.2
ACAD9	NM_014049.4
ACADL	NM_001608.3
ACADM	NM_000016.5
ACADS	NM_000017.3
ACADSB	NM_001609.3
ACADVL	NM_000018.3
ACAN	NM_013227.3
ACAT1	NM_000019.3
ACBD5	NM_145698.4
ACBD6	NM_032360.3
ACCS	NM_032592.3
ACCSL	NM_001031854.2
ACD	NM_001082486.1
ACE	NM_000789.3
ACE	NM_001178057.1
ACER3	NM_001300953.1
ACHE	NM_000665.4
ACKR1	NM_001122951.2
ACKR2	NM_001296.4
ACLY	NM_001096.2
ACMSD	NM_138326.2
ACN9	NM_020186.2
ACO1	NM_002197.2
ACO2	NM_001098.2
ACOT4	NM_152331.3
ACOX1	NM_004035.6
ACP5	NM_001111035.1
ACP6	NM_016361.4
ACSF3	NM_174917.4
ACSL4	NM_004458.2
ACSL5	NM_016234.3
ACSM2B	NM_182617.3
ACSM3	NM_005622.3
ACSS2	NM_018677.3
ACTA1	NM_001100.3
ACTA2	NM_001613.2
ACTB	NM_001101.3
ACTC1	NM_005159.4
ACTG1	NM_001614.3
ACTG2	NM_001615.3
ACTL6B	NM_016188.4
ACTL7B	NM_006686.3
ACTN1	NM_001130004.1
ACTN2	NM_001103.3
ACTN3	NM_001104.3
ACTN4	NM_004924.4
ACTR3C	NM_001164458.1
ACVR1	NM_001105.4
ACVR2B	NM_001106.3
ACVRL1	NM_000020.2
ACY1	NM_000666.2
ADA	NM_000022.2
ADAM10	NM_001110.3
ADAM12	NM_003474.5
ADAM17	NM_003183.4
ADAM19	NM_033274.4
ADAM22	NM_021723.3
ADAM33	NM_025220.3
ADAM7	NM_003817.3
ADAM9	NM_003816.2
ADAMTS1	NM_006988.4
ADAMTS10	NM_030957.3
ADAMTS13	NM_139025.4
ADAMTS15	NM_139055.2
ADAMTS16	NM_139056.2
ADAMTS17	NM_139057.2
ADAMTS18	NM_199355.2
ADAMTS19	NM_133638.3
ADAMTS2	NM_014244.4
ADAMTS3	NM_014243.2
ADAMTS6	NM_197941.2
ADAMTSL2	NM_014694.3
ADAMTSL3	NM_207517.2
ADAMTSL4	NM_019032.5
ADAR	NM_001111.4
ADAT3	NM_138422.2
ADC	NM_052998.3
ADCK3	NM_020247.4
ADCK4	NM_024876.3
ADCY1	NM_021116.2
ADCY10	NM_018417.5
ADCY3	NM_004036.3
ADCY5	NM_183357.2
ADCY6	NM_015270.3
ADCY8	NM_001115.2
ADCY9	NM_001116.3
ADCYAP1	NM_001099733.1
ADD1	NM_014190.3
ADD3	NM_016824.3
ADGRE2	NM_013447.3
ADGRF1	NM_153840.3
ADGRF4	NM_153838.3
ADGRG2	NM_001079858.2
ADGRG6	NM_198569.2
ADGRL1	NM_001008701.2
ADGRV1	NM_032119.3
ADH1B	NM_000668.5
ADH1C	NM_000669.4
ADH4	NM_000670.3
ADH5	NM_000671.4
ADH7	NM_000673.4
ADIPOQ	NM_004797.3
ADIPOR1	NM_015999.5
ADK	NM_001123.3
ADNP	NM_015339.3
ADORA1	NM_000674.2
ADORA3	NM_000677.3
ADRA1A	NM_000680.2
ADRA2A	NM_000681.3
ADRA2C	NM_000683.3
ADRB1	NM_000684.2
ADRB2	NM_000024.5
ADRB3	NM_000025.2
ADSL	NM_000026.2
ADSSL1	NM_199165.1
AEBP1	NM_001129.4
AFF2	NM_002025.3
AFF4	NM_014423.3
AFG3L2	NM_006796.2
AFP	NM_001134.2
AGA	NM_000027.3
AGAP1	NM_014914.4
AGBL1	NM_152336.2
AGBL2	NM_024783.3
AGBL5	NM_021831.5
AGER	NM_001136.4
AGGF1	NM_018046.4
AGK	NM_018238.3
AGL	NM_000642.2
AGMO	NM_001004320.1
AGO1	NM_012199.2
AGPAT2	NM_006412.3
AGPS	NM_003659.3
AGRN	NM_198576.3
AGRP	NM_001138.1
AGT	NM_000029.3
AGTR1	NM_031850.3
AGTR2	NM_000686.4
AGXT	NM_000030.2
AGXT2	NM_031900.3
AHCY	NM_000687.2
AHDC1	NM_001029882.3
AHI1	NM_017651.4
AHNAK	NM_001620.2
AHNAK2	NM_138420.2
AHR	NM_001621.4
AHRR	NM_020731.4
AHSG	NM_001622.2
AHSP	NM_016633.2
AICDA	NM_020661.2
AIF1	NM_004847.3
AIFM1	NM_004208.3
AIM2	NM_004833.1
AIMP1	NM_004757.3
AIMP2	NM_006303.3
AIP	NM_003977.3
AIPL1	NM_014336.4
AIRE	NM_000383.3
AK1	NM_000476.2
AK2	NM_001625.3
AK2	NM_013411.4
AK7	NM_152327.3
AK9	NM_001145128.2
AK9	NM_145025.4
AKAP10	NM_007202.3
AKAP13	NM_007200.4
AKAP2	NM_001004065.4
AKAP5	NM_004857.3
AKAP9	NM_005751.4
AKR1C2	NM_001354.5
AKR1C3	NM_003739.5
AKR1C4	NM_001818.3
AKR1D1	NM_005989.3
AKR1E2	NM_001040177.2
AKR7A2	NM_003689.3
AKR7A3	NM_012067.2
AKT1	NM_005163.2
AKT2	NM_001626.5
AKT3	NM_005465.4
AKTIP	NM_001012398.1
ALAD	NM_000031.5
ALAS1	NM_000688.5
ALAS2	NM_000032.4
ALB	NM_000477.5
ALCAM	NM_001627.3
ALDH16A1	NM_153329.3
ALDH18A1	NM_002860.3
ALDH1A2	NM_003888.3
ALDH1A3	NM_000693.3
ALDH1B1	NM_000692.4
ALDH1L2	NM_001034173.3
ALDH2	NM_000690.3
ALDH3A2	NM_000382.2
ALDH4A1	NM_003748.3
ALDH5A1	NM_001080.3
ALDH6A1	NM_005589.3
ALDH7A1	NM_001182.4
ALDH9A1	NM_000696.3
ALDOA	NM_000034.3
ALDOB	NM_000035.3
ALG1	NM_019109.4
ALG10B	NM_001013620.3
ALG11	NM_001004127.2
ALG12	NM_024105.3
ALG13	NM_001099922.2
ALG14	NM_144988.3
ALG2	NM_033087.3
ALG3	NM_005787.5
ALG6	NM_013339.3
ALG8	NM_024079.4
ALK	NM_004304.4
ALOX12	NM_000697.2
ALOX12B	NM_001139.2
ALOX15	NM_001140.3
ALOX5	NM_000698.3
ALOXE3	NM_001165960.1
ALOXE3	NM_021628.2
ALPK3	NM_020778.4
ALPL	NM_000478.4
ALPP	NM_001632.4
ALS2	NM_020919.3
ALX1	NM_006982.2
ALX3	NM_006492.2
ALX4	NM_021926.3
AMACR	NM_014324.5
AMBN	NM_016519.5
AMD1	NM_001634.5
AMELX	NM_182680.1
AMER1	NM_152424.3
AMH	NM_000479.3
AMHR2	NM_020547.2
AMN	NM_030943.3
AMOT	NM_001113490.1
AMPD1	NM_000036.2
AMPD2	NM_001257360.1
AMPD3	NM_001025389.1
AMT	NM_000481.3
AMZ1	NM_133463.2
ANAPC10	NM_001256706.1
ANAPC5	NM_016237.4
ANAPC7	NM_016238.2
ANG	NM_001145.4
ANGPTL3	NM_014495.3
ANGPTL4	NM_139314.2
ANGPTL5	NM_178127.4
ANGPTL8	NM_018687.6
ANK1	NM_000037.3
ANK1	NM_001142445.1
ANK2	NM_001148.4
ANK3	NM_020987.3
ANKH	NM_054027.4
